19910314,-0.15,0.39,-0.31,0.22,0.11,0.02
19910315,-0.21,-0.32,-0.31,0.16,0.01,0.02
19910318,-0.25,0.34,-0.15,0.25,-0.04,0.02
19910319,-1.23,0.48,-0.51,-0.44,0.22,0.02
19910320,0.31,0.4,-0.61,0.03,0.1,0.02
19910321,-0.27,0.47,-0.07,-0.21,0.12,0.02
19910322,0.11,0,-0.14,-0.06,0.4,0.02
19910325,0.6,-0.09,0.04,-0.22,-0.07,0.02
19910326,1.55,-0.63,-0.56,0.49,-1.05,0.02
19910327,-0.01,0.76,-0.1,0.04,-0.71,0.02
19910328,-0.06,0.7,0.19,-0.18,-0.07,0.02
19910329,-0.02,0,-0.01,0,0,0.02
19910401,-0.78,0.55,-0.01,0.03,0.05,0.02
19910402,1.89,-0.77,-0.86,0.5,-0.54,0.02
19910403,0.08,0.7,-0.08,-0.41,-0.6,0.02
19910404,0.3,0.05,-0.11,-0.37,-0.24,0.02
19910405,-0.89,0.66,0.36,-0.3,0.2,0.02
19910408,0.55,-0.71,0.02,0.24,0.14,0.02
19910409,-1.02,0.73,0.2,-0.08,-0.04,0.02
19910410,-0.2,0.1,0.25,0.18,0.18,0.02
19910411,1.11,-0.29,-0.11,-0.13,-0.25,0.02
19910412,0.57,-0.09,-0.38,0.01,0.09,0.02
19910415,0.16,-0.15,-0.17,0.15,-0.09,0.02
19910416,1.39,-0.73,-0.19,-0.07,-0.1,0.02
19910417,0.72,0.07,-0.04,-0.07,-0.11,0.02
19910418,-0.48,-0.07,0.73,-0.15,0.09,0.02
19910419,-1,0.43,0.73,-0.2,0.55,0.02
19910422,-0.95,-0.4,-0.07,0.23,0.09,0.02
19910423,0.15,0.11,0.07,-0.14,-0.03,0.02
19910424,0.27,0.06,0.14,-0.09,-0.34,0.02
19910425,-0.73,0.62,-0.05,0.09,0.09,0.02
19910426,-0.13,-0.3,0.18,0.08,0.12,0.02
19910429,-1.27,0.39,0.41,0.09,0.36,0.02
19910430,0.18,-0.95,0.19,0.3,0.25,0.02
19910501,1.15,-0.59,-0.52,0.18,-0.15,0.02
19910502,0.18,0.53,-0.06,-0.36,-0.26,0.02
19910503,0.05,0.22,-0.29,0.06,0.27,0.02
19910506,-0.16,0.07,0.09,-0.22,-0.01,0.02
19910507,-0.52,0.61,0.06,-0.37,-0.09,0.02
19910508,0.19,0.07,0.04,0.22,-0.06,0.02
19910509,1.11,-0.55,-0.44,0.18,-0.21,0.02
19910510,-1.55,0.99,0.42,-0.15,0.21,0.02
19910513,0.16,-0.21,-0.24,0.37,-0.28,0.02
19910514,-1.21,0.38,0.22,0.14,0.07,0.02
19910515,-0.97,-0.52,0.68,-0.33,0.66,0.02
19910516,0.89,-0.32,-0.25,0.18,-0.21,0.02
19910517,-0.04,-0.21,-0.09,0.1,-0.02,0.02
19910520,-0.02,-0.11,-0.08,0.27,-0.09,0.02
19910521,0.7,-0.21,-0.48,0.2,-0.26,0.02
19910522,0.22,-0.05,0.16,0.01,-0.22,0.02
19910523,-0.17,0.39,-0.09,-0.16,-0.35,0.02
19910524,0.61,-0.26,0.18,-0.16,-0.01,0.02
19910527,-0.01,-0.01,-0.01,-0.01,0.01,0.02
19910528,1.05,-0.46,-0.1,-0.01,-0.22,0.02
19910529,0.25,0.3,0.34,0.17,-0.17,0.02
19910530,0.97,-0.06,-0.16,-0.04,-0.38,0.02
19910531,0.69,0.07,0.56,-0.39,-0.22,0.02
19910603,-0.26,0.52,0.54,-0.22,0.05,0.02
19910604,-0.04,0.22,-0.15,0,-0.23,0.02
19910605,-0.53,0.66,0.21,-0.14,0.07,0.02
19910606,-0.32,0.18,0.4,-0.38,0.41,0.02
19910607,-0.9,0.44,0.27,-0.16,0.14,0.02
19910610,-0.25,-0.01,0.06,0.08,-0.05,0.02
19910611,0.44,-0.42,-0.22,0.45,0.07,0.02
19910612,-1.02,0.07,-0.04,0.27,0.11,0.02
19910613,0.18,-0.13,-0.21,0.19,-0.04,0.02
19910614,1.01,-0.46,-0.35,0.5,-0.31,0.02
19910617,-0.4,0.35,0.15,0.11,-0.15,0.02
19910618,-0.38,0.19,0.05,0.06,-0.03,0.02
19910619,-0.94,-0.02,0.3,0.03,0.04,0.02
19910620,-0.01,-0.15,-0.2,0.08,0.07,0.02
19910621,0.39,-0.44,-0.07,0.12,-0.05,0.02
19910624,-1.64,0.1,0.34,-0.05,0.49,0.02
19910625,-0.19,-0.34,-0.03,0.22,0.26,0.02
19910626,0.1,-0.38,-0.18,0.18,-0.14,0.02
19910627,0.64,-0.31,-0.5,0.24,0.22,0.02
19910628,-0.64,0.87,0.17,-0.02,0.06,0.02
19910701,1.49,-0.99,-0.63,0.5,-0.55,0.02
19910702,-0.09,-0.02,0.03,0.1,0.07,0.02
19910703,-0.94,0.38,-0.02,0.14,0.1,0.02
19910704,-0.02,0,0.01,0,0,0.02
19910705,0.15,-0.19,-0.03,0.11,-0.02,0.02
19910708,0.78,-0.57,-0.47,0.22,-0.51,0.02
19910709,-0.13,0.69,-0.16,0.18,-0.1,0.02
19910710,0.02,0.47,-0.15,-0.02,0.02,0.02
19910711,0.27,-0.12,-0.11,0.23,-0.15,0.02
19910712,0.73,-0.15,-0.3,0.15,-0.21,0.02
19910715,0.59,-0.03,-0.12,-0.1,-0.16,0.02
19910716,-0.19,0.21,0.45,-0.28,0.47,0.02
19910717,-0.03,0.09,-0.04,-0.18,0.13,0.02
19910718,0.84,-0.36,-0.12,0.11,-0.07,0.02
19910719,-0.24,0.47,-0.03,-0.13,-0.06,0.02
19910722,-0.36,0.09,0.05,0.18,0.17,0.02
19910723,-0.86,0.24,0.39,-0.29,0.3,0.02
19910724,-0.28,-0.13,-0.01,0.19,0.18,0.02
19910725,0.51,-0.43,-0.04,0.12,-0.23,0.02
19910726,0.07,0,-0.05,0,0.05,0.02
19910729,0.45,-0.54,-0.31,0.13,-0.25,0.02
19910730,0.83,-0.31,-0.55,0.52,-0.3,0.02
19910731,0.35,0.33,-0.24,0.07,-0.28,0.02
19910801,-0.11,0.22,-0.17,-0.11,-0.17,0.02
19910802,0.05,0.11,-0.17,0.09,-0.23,0.02
19910805,-0.49,0.21,0.09,-0.19,0.22,0.02
19910806,1.14,-0.96,-0.19,0.59,-0.14,0.02
19910807,0.12,0.1,0.04,0.12,-0.06,0.02
19910808,-0.17,0.27,-0.05,0.09,0.12,0.02
19910809,-0.42,0.48,-0.02,0.17,0.03,0.02
19910812,0.17,-0.21,0.25,-0.13,0.06,0.02
19910813,0.44,-0.1,0.3,-0.39,0.1,0.02
19910814,0.21,0.13,-0.26,0,-0.27,0.02
19910815,-0.15,0.15,-0.28,0.24,0.03,0.02
